Year,FIPS,All Ages in Poverty Percent,Median Household Income in Dollars
2010,28027,38.7,"$25,719 "
2009,28027,39.4,"$24,815 "
2008,28027,32.2,"$28,320 "
2007,28027,32.2,"$26,452 "
2006,28027,32.7,"$25,184 "
2005,28027,40.4,"$23,728 "
2004,28027,30.6,"$23,560 "
2003,28027,28.4,"$23,416 "
2002,28027,28.5,"$22,539 "
2001,28027,28.7,"$22,696 "
2000,28027,27.7,"$23,180 "
1999,28027,29.5,"$22,196 "
1998,28027,28.7,"$21,072 "
1997,28027,30,"$19,895 "
1996,28027,NA,NA
1995,28027,37.4,"$18,812 "
1993,28027,42.2,"$16,014 "
1989,28027,47.6,"$13,595 "
2017,28029,22.5,"$39,107 "
2016,28029,27.1,"$34,450 "
2015,28029,26.1,"$34,723 "
2014,28029,26,"$35,314 "
2013,28029,29.6,"$32,060 "
2012,28029,31.1,"$31,147 "
2011,28029,24.8,"$31,971 "
2010,28029,23.4,"$31,275 "
2009,28029,26.3,"$31,632 "
2008,28029,24.6,"$33,699 "
2007,28029,22.4,"$32,223 "
2006,28029,22.9,"$30,481 "
2005,28029,23.2,"$29,005 "
2004,28029,22.8,"$28,315 "
2003,28029,21.2,"$27,075 "
2002,28029,21,"$26,346 "
2001,28029,21.1,"$26,320 "
2000,28029,20.7,"$27,139 "
1999,28029,21.4,"$25,805 "
1998,28029,20.2,"$24,730 "
1997,28029,20.7,"$23,107 "
1996,28029,NA,NA
1995,28029,26.6,"$21,328 "
1993,28029,31.2,"$17,806 "
1989,28029,29.5,"$15,773 "
2017,28031,23,"$39,644 "
2016,28031,23.5,"$33,348 "
2015,28031,22.4,"$36,206 "
2014,28031,26.5,"$31,835 "
2013,28031,28.2,"$32,999 "
2012,28031,24.8,"$32,932 "
2011,28031,26.5,"$31,655 "
2010,28031,21.7,"$32,900 "
2009,28031,24.6,"$31,178 "
2008,28031,24.4,"$31,639 "
2007,28031,22.3,"$32,785 "
2006,28031,21.6,"$30,166 "
2005,28031,22.1,"$28,862 "
2004,28031,20.6,"$28,233 "
2003,28031,19.3,"$27,632 "
2002,28031,20.6,"$26,365 "
2001,28031,21.3,"$26,312 "
2000,28031,19.7,"$26,908 "
1999,28031,20.2,"$25,712 "
1998,28031,19.7,"$25,089 "
1997,28031,19.4,"$23,798 "
1996,28031,NA,NA
1995,28031,23.8,"$22,526 "
1993,28031,27.7,"$18,742 "
1989,28031,26.2,"$15,826 "
2017,28033,8.7,"$66,125 "
2016,28033,10.2,"$64,138 "
2015,28033,10,"$60,610 "
2014,28033,10.1,"$58,479 "
2013,28033,12,"$59,043 "
2012,28033,10.9,"$55,011 "
2011,28033,10.4,"$54,495 "
2010,28033,10.4,"$58,979 "
2009,28033,9,"$55,160 "
2008,28033,9.4,"$60,117 "
2007,28033,7.9,"$58,581 "
2006,28033,9.6,"$53,675 "
2005,28033,8.6,"$51,995 "
2004,28033,8.9,"$53,055 "
2003,28033,8.6,"$51,952 "
2002,28033,8.2,"$49,968 "
2001,28033,8.1,"$49,047 "
2000,28033,7.3,"$49,479 "
1999,28033,8.2,"$47,000 "
1998,28033,7.4,"$45,368 "
1997,28033,7.6,"$43,386 "
1996,28033,NA,NA
1995,28033,8.8,"$41,241 "
1993,28033,11.1,"$36,285 "
1989,28033,11,"$30,668 "
2017,28035,22.7,"$39,394 "
2016,28035,25.4,"$36,709 "
2015,28035,26.6,"$35,198 "
2014,28035,26.4,"$36,808 "
2013,28035,28,"$34,391 "
2012,28035,29,"$32,210 "
2011,28035,27.9,"$33,203 "
2010,28035,29,"$32,555 "
2009,28035,23.1,"$33,909 "
2008,28035,24.3,"$33,693 "
2007,28035,25.2,"$32,589 "
2006,28035,21.8,"$30,925 "
2005,28035,27.7,"$29,564 "
2004,28035,21.8,"$28,649 "
2003,28035,20.4,"$29,411 "
2002,28035,22.2,"$28,521 "
2001,28035,22,"$28,596 "
2000,28035,20.2,"$29,861 "
1999,28035,20.3,"$27,927 "
1998,28035,18.6,"$29,958 "
1997,28035,18.3,"$27,652 "
1996,28035,NA,NA
1995,28035,21.5,"$25,268 "
1993,28035,24.6,"$21,547 "
1989,28035,23.7,"$18,562 "
2017,28037,20.6,"$38,370 "
2016,28037,20.2,"$37,533 "
2015,28037,20.6,"$36,391 "
2014,28037,20.5,"$36,544 "
2013,28037,23.1,"$35,963 "
2012,28037,21.8,"$31,287 "
2011,28037,22.6,"$33,979 "
2010,28037,20.8,"$32,375 "
2009,28037,21.5,"$32,044 "
2008,28037,21.6,"$32,406 "
2007,28037,20.8,"$31,288 "
2006,28037,22.5,"$29,666 "
2005,28037,21.7,"$29,519 "
2004,28037,20.1,"$27,883 "
2003,28037,19.6,"$26,312 "
2002,28037,21.9,"$25,212 "
2001,28037,20.8,"$25,067 "
2000,28037,20,"$25,763 "
1999,28037,18.9,"$24,876 "
1998,28037,19.4,"$24,414 "
1997,28037,19.7,"$22,749 "
1996,28037,NA,NA
1995,28037,25.2,"$20,211 "
1993,28037,27.7,"$17,652 "
1989,28037,28.3,"$16,268 "
2017,28039,16,"$51,185 "
2016,28039,16.1,"$50,705 "
2015,28039,17.1,"$48,212 "
2014,28039,17,"$44,811 "
2013,28039,18.8,"$43,597 "
2012,28039,20.8,"$46,194 "
2011,28039,18.2,"$42,596 "
2010,28039,17.2,"$43,487 "
2009,28039,16.2,"$43,043 "
2008,28039,16.3,"$43,666 "
2007,28039,16.6,"$42,581 "
2006,28039,17.2,"$40,338 "
2005,28039,16.6,"$39,753 "
2004,28039,17.2,"$36,341 "
2003,28039,16.1,"$36,469 "
2002,28039,16.4,"$34,913 "
2001,28039,16.9,"$34,425 "
2000,28039,15.3,"$35,739 "
1999,28039,16.6,"$33,833 "
1998,28039,14.7,"$32,556 "
1997,28039,15.5,"$28,656 "
1996,28039,NA,NA
1995,28039,18.7,"$27,256 "
1993,28039,21.8,"$23,144 "
1989,28039,18.9,"$21,313 "
2017,28041,21.7,"$44,337 "
2016,28041,24.1,"$39,559 "
2015,28041,22.6,"$42,699 "
2014,28041,23.6,"$39,615 "
2013,28041,23.7,"$38,192 "
2012,28041,25.2,"$37,234 "
2011,28041,22.5,"$37,362 "
2010,28041,23.9,"$37,348 "
2009,28041,25.3,"$35,693 "
2008,28041,22.2,"$36,547 "
2007,28041,22,"$35,196 "
2006,28041,23.1,"$32,467 "
2005,28041,23.6,"$30,882 "
2004,28041,21.6,"$29,643 "
2003,28041,19.9,"$28,784 "
2002,28041,22.9,"$27,705 "
2001,28041,23.7,"$27,833 "
2000,28041,21.4,"$28,643 "
1999,28041,19.1,"$27,155 "
1998,28041,20.3,"$26,347 "
1997,28041,22.3,"$24,753 "
1996,28041,NA,NA
1995,28041,24.1,"$23,945 "
1993,28041,26.6,"$20,356 "
1989,28041,27.1,"$16,522 "
2017,28043,20.4,"$38,827 "
2016,28043,22.5,"$37,419 "
2015,28043,21.3,"$35,163 "
2014,28043,24.8,"$33,650 "
2013,28043,25.2,"$31,703 "
2012,28043,24.5,"$32,677 "
2011,28043,20.2,"$32,543 "
2010,28043,21.5,"$32,715 "
2009,28043,23.5,"$32,403 "
2008,28043,21.3,"$32,835 "
2007,28043,23.7,"$31,657 "
2006,28043,20.2,"$31,545 "
2005,28043,21.6,"$30,076 "
2004,28043,19.2,"$30,018 "
2003,28043,18.6,"$29,099 "
2002,28043,18.6,"$28,061 "
2001,28043,19.1,"$27,706 "
2000,28043,18,"$28,672 "
1999,28043,18.7,"$27,660 "
1998,28043,17.6,"$27,991 "
1997,28043,18.1,"$26,468 "
1996,28043,NA,NA
1995,28043,20.1,"$24,789 "
1993,28043,23.3,"$23,011 "
1989,28043,21.2,"$20,420 "
2017,28045,17,"$45,535 "
2016,28045,17.2,"$45,369 "
2015,28045,20.8,"$45,911 "
2014,28045,19.8,"$46,288 "
2013,28045,20.2,"$43,870 "
2012,28045,21.6,"$41,308 "
2011,28045,24.5,"$39,996 "
2010,28045,18.9,"$42,255 "
2009,28045,18.7,"$42,740 "
2008,28045,17.4,"$43,491 "
2007,28045,17.3,"$38,192 "
2006,28045,18.5,"$40,400 "
2005,28045,15.5,"$37,564 "
2004,28045,16.6,"$36,285 "
2003,28045,15.7,"$36,058 "
2002,28045,16.2,"$35,098 "
2001,28045,15.5,"$34,806 "
2000,28045,14.1,"$35,841 "
1999,28045,15.1,"$33,579 "
1998,28045,14.9,"$31,865 "
1997,28045,15.3,"$29,168 "
1996,28045,NA,NA
1995,28045,18.2,"$27,467 "
1993,28045,20.9,"$24,821 "
1989,28045,22,"$21,522 "
2017,28047,19.7,"$46,709 "
2016,28047,20.5,"$42,988 "
2015,28047,22,"$42,370 "
2014,28047,18.8,"$41,010 "
2013,28047,22.7,"$41,657 "
2012,28047,20.5,"$40,782 "
2011,28047,20.5,"$39,046 "
2010,28047,19.7,"$41,522 "
2009,28047,18.2,"$42,337 "
2008,28047,16.2,"$44,463 "
2007,28047,15.6,"$40,803 "
2006,28047,16,"$41,935 "
2005,28047,16.1,"$38,447 "
2004,28047,16.9,"$35,576 "
2003,28047,16.4,"$35,062 "
2002,28047,16.3,"$33,780 "
2001,28047,16.1,"$34,187 "
2000,28047,14.5,"$35,564 "
1999,28047,14.5,"$33,811 "
1998,28047,14.8,"$32,255 "
1997,28047,14.9,"$30,706 "
1996,28047,NA,NA
1995,28047,16.8,"$29,229 "
1993,28047,20.2,"$25,467 "
1989,28047,19.7,"$21,321 "
2017,28049,20.2,"$44,076 "
2016,28049,20.8,"$42,903 "
2015,28049,27.1,"$39,158 "
2014,28049,23.6,"$38,454 "
2013,28049,29.7,"$34,826 "
2012,28049,28,"$34,786 "
2011,28049,26.2,"$35,014 "
2010,28049,22.9,"$37,265 "
2009,28049,23.3,"$36,751 "
2008,28049,23.1,"$38,826 "
2007,28049,23.2,"$38,162 "
2006,28049,23.1,"$35,925 "
2005,28049,22,"$35,433 "
2004,28049,22.4,"$34,405 "
2003,28049,20.5,"$34,115 "
2002,28049,20.2,"$33,309 "
2001,28049,19.8,"$33,523 "
2000,28049,18,"$34,399 "
1999,28049,19,"$32,178 "
1998,28049,18,"$32,477 "
1997,28049,18.5,"$32,033 "
1996,28049,NA,NA
1995,28049,21.8,"$29,641 "
1993,28049,26.1,"$26,968 "
1989,28049,23.6,"$22,137 "
2017,28051,40.8,"$24,783 "
2016,28051,42.5,"$22,045 "
2015,28051,43.3,"$24,065 "
2014,28051,44,"$22,640 "
2013,28051,45.7,"$22,674 "
2012,28051,41,"$22,535 "
2011,28051,41,"$22,623 "
2010,28051,41.2,"$22,536 "
2009,28051,48.4,"$21,617 "
2008,28051,34.9,"$23,369 "
2007,28051,41.7,"$22,700 "
2006,28051,39.9,"$19,996 "
2005,28051,43.8,"$20,916 "
2004,28051,33.7,"$20,295 "
2003,28051,32.4,"$19,128 "
2002,28051,35.6,"$17,513 "
2001,28051,37.1,"$17,366 "
2000,28051,34.8,"$18,051 "
1999,28051,35.7,"$17,344 "
1998,28051,33,"$17,031 "
1997,28051,36,"$15,307 "
1996,28051,NA,NA
1995,28051,44.9,"$14,382 "
1993,28051,50,"$11,302 "
1989,28051,57.1,"$9,500 "
2017,28053,38.4,"$26,489 "
2016,28053,38.9,"$25,506 "
2015,28053,41.5,"$25,625 "
2014,28053,40.3,"$25,562 "
2013,28053,48.3,"$22,599 "
2012,28053,39.6,"$22,945 "
2011,28053,37.6,"$23,169 "
2010,28053,42.2,"$24,205 "
2009,28053,44.3,"$21,926 "
2008,28053,35.2,"$24,091 "
2007,28053,41,"$22,433 "
2006,28053,37.9,"$21,434 "
2005,28053,38.9,"$21,309 "
2004,28053,32.7,"$20,682 "
2003,28053,30.2,"$20,193 "
2002,28053,32.4,"$19,259 "
2001,28053,33,"$20,371 "
2000,28053,30.8,"$21,171 "
1999,28053,32.5,"$20,141 "
1998,28053,32,"$19,583 "
1997,28053,32,"$18,014 "
1996,28053,NA,NA
1995,28053,38.9,"$16,370 "
1993,28053,41.9,"$14,714 "
1989,28053,46.2,"$11,105 "
2017,28055,38.1,"$28,075 "
2016,28055,40.5,"$26,957 "
2015,28055,40.4,"$28,859 "
2014,28055,39.5,"$37,096 "
2013,28055,42.5,"$31,254 "
2012,28055,42.2,"$28,886 "
2011,28055,40.1,"$27,683 "
2010,28055,43.3,"$27,124 "
2009,28055,45.5,"$24,850 "
2008,28055,48.1,"$26,522 "
2007,28055,49.3,"$24,724 "
2006,28055,48.3,"$20,739 "
2005,28055,46.4,"$22,629 "
2004,28055,34.7,"$21,038 "
2003,28055,29.6,"$19,893 "
2002,28055,41,"$17,862 "
2001,28055,38.2,"$19,592 "
2000,28055,33.4,"$20,194 "
1999,28055,29.8,"$19,989 "
1998,28055,31.3,"$20,715 "
1997,28055,33.2,"$19,249 "
1996,28055,NA,NA
1995,28055,39.9,"$15,358 "
1993,28055,40,"$17,493 "
1989,28055,45.4,"$14,780 "
2017,28057,14.5,"$45,718 "
2016,28057,18.1,"$40,644 "
2015,28057,18.1,"$39,296 "
2014,28057,17.2,"$38,366 "
2013,28057,19.4,"$39,927 "
2012,28057,19.6,"$36,308 "
2011,28057,17.7,"$37,848 "
2010,28057,17.2,"$37,134 "
2009,28057,15.7,"$35,807 "
2008,28057,15,"$38,063 "
2007,28057,14.5,"$37,891 "
2006,28057,14.9,"$36,759 "
2005,28057,15.6,"$35,028 "
2004,28057,14,"$35,206 "
2003,28057,13.6,"$34,403 "
2002,28057,13,"$32,988 "
2001,28057,14,"$31,963 "
2000,28057,12.7,"$32,545 "
1999,28057,13.2,"$31,665 "
1998,28057,12.4,"$32,139 "
1997,28057,11.6,"$30,194 "
1996,28057,NA,NA
1995,28057,12.3,"$28,376 "
1993,28057,13.9,"$25,350 "
1989,28057,12.4,"$21,726 "
2017,28059,14.5,"$49,699 "
2016,28059,17.6,"$53,288 "
2015,28059,16.1,"$46,339 "
2014,28059,15.6,"$48,018 "
2013,28059,16.4,"$47,813 "
2012,28059,16.9,"$45,993 "
2011,28059,17.3,"$47,672 "
2010,28059,16.6,"$45,766 "
2009,28059,14.1,"$48,197 "
2008,28059,13.3,"$51,034 "
2007,28059,14.8,"$43,411 "
2006,28059,15.8,"$42,632 "
2005,28059,15.4,"$41,605 "
2004,28059,15,"$40,418 "
2003,28059,14.9,"$39,455 "
2002,28059,14.7,"$37,336 "
2001,28059,14.1,"$37,710 "
2000,28059,12.9,"$38,608 "
1999,28059,13.4,"$36,917 "
1998,28059,13,"$36,143 "
