FIPS,Year,CancerDeaths,Population
5035,1990,58,47798
5035,1991,71,47516
5035,1992,75,47426
5035,1993,97,47849
5035,1994,77,47768
5035,1995,75,47564
5035,1996,83,47383
5035,1997,84,47641
5035,1998,63,47952
5037,1988,27,18313
5037,1989,31,18166
5037,1990,27,18013
5037,1991,26,17991
5037,1992,30,18034
5037,1993,31,18094
5037,1994,28,17857
5037,1995,24,18043
5037,1996,35,18177
5037,1997,36,18300
5037,1998,37,18390
5039,1988,11,9049
5039,1989,11,8915
5039,1990,21,8765
5039,1991,13,8805
5039,1992,20,8783
5039,1993,20,8821
5039,1994,16,8771
5039,1995,16,8805
5039,1996,15,8682
5039,1997,20,8597
5039,1998,10,8541
5041,1988,22,16149
5041,1989,18,15882
5041,1990,29,15609
5041,1991,28,15428
5041,1992,20,15227
5041,1993,24,15032
5041,1994,20,14884
5041,1995,22,14735
5041,1996,22,14673
5041,1997,15,14540
5041,1998,20,14449
5043,1988,18,16394
5043,1989,31,16457
5043,1990,23,16289
5043,1991,28,16387
5043,1992,14,16336
5043,1993,30,16663
5043,1994,28,16924
5043,1995,19,17196
5043,1996,21,17343
5043,1997,20,17339
5043,1998,25,17321
5045,1988,57,54010
5045,1989,67,55899
5045,1990,61,57263
5045,1991,54,59524
5045,1992,64,62015
5045,1993,72,64750
5045,1994,69,67388
5045,1995,85,70108
5045,1996,86,73180
5045,1997,72,76133
5045,1998,60,78369
5047,1988,22,13885
5047,1989,21,13838
5047,1990,31,13773
5047,1991,14,13934
5047,1992,25,14257
5047,1993,25,14548
5047,1994,28,14826
5047,1995,28,15308
5047,1996,27,15833
5047,1997,15,16004
5047,1998,25,16405
5049,1988,23,9139
5049,1989,26,9045
5049,1990,15,9148
5049,1991,20,9118
5049,1992,13,9198
5049,1993,19,9442
5049,1994,20,9655
5049,1995,20,9909
5049,1996,18,10059
5049,1997,15,10234
5049,1998,10,10386
5051,1988,148,66485
5051,1989,145,66674
5051,1990,166,66766
5051,1991,134,67853
5051,1992,154,69310
5051,1993,155,71039
5051,1994,149,72900
5051,1995,176,74060
5051,1996,141,75425
5051,1997,153,76672
5051,1998,128,77666
5053,1988,14,13014
5053,1989,17,13090
5053,1990,24,13140
