FIPS,Year,SuicDeaths,Population
5021,1980,1,19200
5021,1982,1,18582
5021,1983,3,18388
5021,1984,2,18134
5021,1985,5,17720
5021,1986,2,17327
5021,1988,1,16886
5023,1979,1,15774
5023,1981,2,15851
5023,1982,1,16150
5023,1983,1,16532
5023,1984,5,16998
5023,1985,3,17102
5023,1986,1,17143
5023,1987,4,17345
5025,1981,1,7411
5025,1983,1,7432
5025,1986,1,7399
5027,1979,3,24639
5027,1980,3,24903
5027,1981,3,24986
5027,1982,6,25094
5027,1983,1,25075
5027,1984,1,24963
5027,1985,4,24681
5027,1986,3,24316
5027,1987,7,24166
5027,1988,4,24015
5029,1979,6,18233
5029,1980,1,18377
5029,1981,4,18191
5029,1984,2,18380
5029,1985,5,18161
5029,1986,3,18049
5029,1988,1,17925
5031,1979,4,60876
5031,1980,4,60692
5031,1981,6,60723
5031,1982,9,60222
5031,1983,12,60141
5031,1984,5,60661
5031,1985,8,60996
5031,1986,4,61145
5031,1987,9,62309
5031,1988,10,63375
5031,1989,11,64347
5031,1996,11,73166
5031,1998,15,75710
5033,1979,4,34762
5033,1980,2,35154
5033,1981,5,35243
5033,1982,3,35280
5033,1983,6,35790
5033,1984,6,36483
5033,1985,2,37110
5033,1986,5,37885
5033,1987,3,38455
5033,1988,4,39211
5033,1998,10,48865
5035,1979,1,47312
5035,1980,5,47662
5035,1981,5,47525
5035,1982,4,47462
5035,1983,4,47416
5035,1984,3,47221
5035,1985,8,47364
5035,1986,7,47325
5035,1987,6,47431
5035,1988,2,47925
5037,1980,5,19364
5037,1981,1,19471
5037,1982,3,19375
5037,1983,1,19150
5037,1984,3,19086
5037,1985,2,18868
5037,1986,2,18666
5037,1987,2,18490
5037,1988,2,18313
5039,1979,1,9889
5039,1980,1,9785
5039,1981,1,9710
5039,1982,3,9711
5039,1983,2,9690
5039,1984,1,9549
5039,1987,1,9226
5041,1979,3,18750
5041,1981,5,18409
5041,1982,1,18219
5041,1983,2,17869
5041,1984,6,17616
5041,1985,2,17309
5041,1986,1,17015
5041,1988,3,16149
5043,1979,2,17277
5043,1980,3,17021
5043,1982,1,16933
5043,1983,3,16882
5043,1984,3,16788
5043,1986,2,16599
5043,1987,5,16497
5043,1988,2,16394
5045,1979,6,43385
5045,1980,3,44339
5045,1981,3,44930
5045,1982,4,45415
5045,1983,3,46382
5045,1984,5,47810
5045,1985,8,49480
5045,1986,4,50717
5045,1987,9,52482
5045,1988,3,54010
5045,1993,12,64750
5045,1995,10,70108
5045,1998,11,78369
5047,1980,2,13745
5047,1981,2,13647
5047,1982,2,13797
5047,1983,2,13960
5047,1985,5,13958
5047,1986,1,13925
5047,1987,2,13984
5047,1988,1,13885
5049,1981,2,9199
5049,1982,1,9100
5049,1985,1,9231
5049,1986,3,9186
5049,1987,2,9160
5049,1988,2,9139
5051,1979,12,64841
5051,1980,7,65212
5051,1981,9,64995
5051,1982,11,64926
5051,1983,6,65746
5051,1984,11,66244
5051,1985,6,66191
5051,1986,14,66320
5051,1987,14,66927
5051,1988,16,66485
5051,1989,17,66674
5051,1991,18,67853
5051,1992,11,69310
5051,1993,10,71039
5051,1996,11,75425
5051,1997,15,76672
5051,1998,14,77666
5053,1980,1,12374
5053,1981,1,12305
5053,1984,1,12350
5053,1985,4,12426
5053,1986,5,12659
5053,1987,2,12778
5053,1988,3,13014
5055,1979,3,29570
5055,1980,4,29089
5055,1981,2,28877
5055,1982,4,29025
5055,1983,4,28969
5055,1984,4,29098
5055,1985,4,29279
5055,1986,5,29338
5055,1987,4,29320
5055,1988,6,29269
5057,1980,1,22061
5057,1981,5,21733
5057,1983,3,21450
5057,1984,8,21391
5057,1985,2,21013
5057,1986,1,20572
5057,1987,1,20347
5057,1988,4,20068
5059,1979,3,25229
5059,1980,2,25353
5059,1981,4,25111
5059,1982,4,24814
5059,1983,3,24998
5059,1984,5,25039
