FIPS,Year,SubUseDisDeaths,Population
11001,2008,144,548595
12001,1999,22,205972
12001,2000,34,207906
12001,2001,30,211553
12001,2002,37,214216
12001,2003,36,216440
12001,2004,43,219127
12001,2005,39,222704
12001,2006,37,228121
12001,2007,44,231089
12001,2008,36,233064
12003,2005,14,23911
12003,2007,12,25237
12005,1999,27,140256
12005,2000,31,140142
12005,2001,40,141679
12005,2002,51,143797
12005,2003,41,145771
12005,2004,45,149343
12005,2005,51,153098
12005,2006,63,155610
12005,2007,63,155147
12005,2008,49,155803
12007,2006,10,26784
12007,2008,10,27173
12009,1999,86,430646
12009,2000,87,433495
12009,2001,119,442252
12009,2002,155,450195
12009,2003,152,458289
12009,2004,161,470613
12009,2005,186,481098
12009,2006,164,485738
12009,2007,155,489336
12009,2008,192,490816
12011,1999,180,1450214
12011,2000,230,1478550
12011,2001,320,1520448
12011,2002,378,1549515
12011,2003,321,1569634
12011,2004,396,1589533
12011,2005,446,1612017
12011,2006,417,1609388
12011,2007,401,1593105
12011,2008,455,1597317
12015,1999,23,117645
12015,2000,13,118536
12015,2001,15,122277
12015,2002,23,125417
12015,2003,28,128327
12015,2004,35,132412
12015,2005,33,131226
12015,2006,46,132955
12015,2007,38,135214
12015,2008,37,135540
12017,1999,16,99633
12017,2000,17,100640
12017,2001,31,103163
12017,2002,24,105002
12017,2003,38,107456
12017,2004,38,110729
12017,2005,40,114382
12017,2006,59,118139
12017,2007,33,120999
12017,2008,46,122065
12019,1999,19,132987
12019,2000,19,134920
12019,2001,37,139464
12019,2002,36,144422
12019,2003,31,148745
12019,2004,35,156008
12019,2005,28,162001
12019,2006,35,170511
12019,2007,43,176086
12019,2008,44,178869
12021,1999,24,219241
12021,2000,35,224952
12021,2001,47,236266
12021,2002,49,246367
12021,2003,63,255018
12021,2004,62,264224
12021,2005,69,274209
12021,2006,89,278605
12021,2007,72,279349
12021,2008,94,280178
12023,2000,16,53151
12023,2002,11,54356
12023,2004,10,57102
12023,2005,13,59244
12023,2006,15,61735
12023,2007,15,62383
12023,2008,17,63056
12031,1999,122,735744
12031,2000,132,740711
12031,2001,163,751187
12031,2002,172,760638
12031,2003,194,769306
12031,2004,174,779492
12031,2005,180,787974
12031,2006,221,800353
12031,2007,222,808890
12031,2008,176,812928
12033,1999,60,276570
12033,2000,58,276598
12033,2001,65,279395
12033,2002,62,279065
12033,2003,64,277896
12033,2004,72,279401
12033,2005,69,279220
12033,2006,87,281337
